 ,'&','(',')','*','+',"','",'-','/',';','<','<=','<>','=','==','>','>=','char','charType','else','float','floatType','id','if','int','intType','return','start','void','while','{','|','}',$end,AssignStmnt,CondStmnt,DataType,DeclStmnt,FuncDataType,FunctCall,IdList,IdListother,LoopStmnt,ParamList,RetStmnt,and,any,argument,arguments,arithemticOrBooleanexpr,arithmeticexpr,const,div,eq,expr,factor,function,functions,ge,gt,le,logicalop,lt,minus,mult,ne,newexpr2,newexpr3,newexpr4,newexpr5,or,plus,program,program1,relationalop,startprog,stmnt,stmnts,term,term1
52,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,53,,,54,55,42,,,73,57,,,,,,,,,,,,,,,,,,,,,,,58,59
53,s78,,r52,,,r52,,,r52,,,,,,,,,,,,,,,,,,,,,,s79,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,75,,,,,76,,,,77,,,,,,,,,
54,,,r35,,,r35,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r54,,r54,,,r54,,,r54,s88,s89,s90,,s91,s92,s93,,,,,,,,,,,,,,,r54,,,,,,,,,,,,,,,,,,,,,,80,,,,,81,82,83,,84,,,85,,86,,,,,,,87,,,,,
56,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r60,,r60,s98,r60,r60,r60,s99,r60,r60,r60,r60,,r60,r60,r60,,,,,,,,,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,96,,,,,97,,,,,,,,,,
58,r37,,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,r57,,r57,,s103,r57,s104,,r57,r57,r57,r57,,r57,r57,r57,,,,,,,,,,,,,,,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,101,,,102,,,,,,,,
60,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,53,,,105,55,42,,,,57,,,,,,,,,,,,,,,,,,,,,,,58,59
61,,,,,,,,,,,,,,,,,r21,,,r21,,r21,r21,r21,,r21,,,r21,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
